Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.091532422,4.449781398,5.81272241,4.843086976,4.413190208,-5.534456218,3.09215965
Maldives,MDV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.88454853,6.338300636,7.209910123,8.123128908,7.097466015,-33.49279579,41.74510055
Mali,MLI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.171800024,5.852299199,5.305456084,4.746484327,4.756160808,-1.235450447,3.052613569
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.608131222,3.381115768,10.92532923,6.168984106,5.917344507,-8.324283232,10.2977636
Marshall Islands,MHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.111108569,2.016095319,3.410419703,4.194018756,10.83921368,-1.841596424,1.114795058
Mauritania,MRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.376339237,1.260909224,6.270545694,4.772173639,5.296637357,-0.938516151,2.445368273
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.690556904,3.862468263,3.937983806,4.006740572,2.891464957,-14.59739843,3.703611124
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.293151528,2.630532425,2.113129135,2.194994725,-0.199047772,-7.98791234,4.720565298
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.621884004,0.900180417,2.682185944,0.2116536,1.174799228,-1.765415152,-3.188187197
Moldova,MDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.338235559,4.408886709,4.690793676,4.301477757,3.683403898,-7.380182154,13.9445896
Monaco,MCO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.863473211,3.451551047,-3.500961422,5.95627042,6.905665492,-12.96513471,21.5535607
Mongolia,MNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.379835807,1.489784485,5.63687639,7.74488062,5.602244219,-4.557751973,1.636769576
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.390381397,2.949280321,4.716465276,5.077888811,4.062944992,-15.30689376,12.43435899
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.344582976,0.521185509,5.057898157,3.065641334,2.890974761,-7.187079581,7.929667942
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.72327878,3.824214319,3.741317593,3.44381384,2.31460601,-1.233905711,2.363988418
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.277279417,10.50778078,5.7500645,6.404977325,6.750460146,3.1737744,-17.9129448
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.264174529,0.033794488,-1.027250823,1.059943443,-0.839154678,-8.036213662,2.65605082
Nauru,NRU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.703703704,3.571428571,-5.747126437,6.097560976,0,1.149425287,1.5
